number_of_authors,age,number_unique_changes,size,lines_added,lines_deleted,buggy,id
1,0,1,110,109,0,1,782
1,0,1,117,116,0,1,625
1,0,1,215,214,0,1,518
1,0,1,133,132,0,1,950
3,973439,3,124,13,7,1,1533
1,0,1,31,30,0,1,939
1,0,1,144,143,0,1,825
5,76710,7,37,5,5,1,194
1,0,1,52,52,0,1,541
1,0,1,471,470,0,1,769
1,0,1,167,166,0,1,606
1,0,1,256,255,0,1,804
5,76710,7,38,5,5,1,180
5,76710,11,162,5,5,1,278
1,0,1,235,234,0,1,836
1,0,1,190,190,0,1,38
1,0,1,41,40,0,1,572
1,0,1,157,156,0,1,526
1,0,1,117,116,0,1,656
1,0,1,148,147,0,1,677
1,0,1,36,35,0,1,969
1,0,1,177,176,0,1,645
6,76710,22,276,38,22,1,317
1,0,1,167,166,0,1,930
1,0,1,22,21,0,1,1544
1,0,1,167,166,0,1,816
4,76710,15,307,6,6,1,425
1,0,1,179,178,0,1,854
1,0,1,480,479,0,1,866
1,0,1,201,200,0,1,635
4,76710,6,66,5,5,1,488
1,0,1,371,370,0,1,728
1,0,1,607,604,0,1,881
5,76710,20,320,23,23,1,62
5,76710,23,606,43,40,1,224
5,76710,6,38,5,5,1,473
4,76710,9,90,5,5,1,87
1,0,1,157,156,0,1,893
1,18628,2,145,7,6,0,824
4,167931,7,66,2,2,0,478
1,167931,2,471,1,1,0,758
5,167931,10,188,1,1,0,385
6,6525,11,209,21,1,0,392
1,191025,2,253,43,4,0,911
1,191028,2,101,14,0,0,916
1,191029,2,140,8,1,0,949
1,197277,2,191,15,1,0,644
1,197277,2,107,10,0,0,509
1,197277,2,76,16,0,0,581
1,197277,2,151,4,1,0,676
1,197277,2,208,30,38,0,710
1,29346,3,485,14,0,0,767
1,197277,2,380,14,5,0,727
1,197277,2,242,9,2,0,835
1,197277,2,268,12,0,0,803
1,197277,2,199,11,0,0,551
1,197277,2,108,5,0,0,791
1,80,3,246,4,0,0,837
1,197358,2,236,5,1,0,754
1,197358,2,224,6,2,0,616
1,80,3,193,3,1,0,646
1,80,3,146,38,0,0,793
1,3641,3,375,1,6,0,726
1,234035,2,261,1,0,0,593
1,36858,4,490,5,0,0,771
1,36777,4,245,0,1,0,838
1,45243,4,157,17,6,0,795
1,8466,5,493,3,0,0,768
1,45617,4,194,2,1,0,647
1,242975,2,202,2,1,0,636
1,242975,2,168,2,1,0,607
1,8940,3,262,2,1,0,595
1,242975,2,118,2,1,0,626
1,45617,3,225,2,1,0,617
1,243161,2,167,2,2,0,815
1,45994,3,236,1,1,0,750
1,9216,5,245,1,1,0,832
1,243352,2,181,1,1,0,740
1,251990,2,612,7,2,0,885
1,0,1,114,113,0,0,1538
4,357942,16,309,4,2,0,419
4,357971,16,417,3,2,0,367
4,9,17,416,2,3,0,376
4,74,18,416,2,2,0,346
6,358071,17,918,2,2,0,152
1,200623,6,500,8,1,0,763
1,443781,2,155,1,3,0,894
1,443781,2,166,2,3,0,931
4,443781,19,372,28,27,0,258
1,443781,2,456,13,37,0,867
6,269324,12,212,10,7,0,398
1,242862,4,373,8,10,0,730
5,443781,21,319,1,2,0,64
6,85710,18,913,11,16,0,156
1,200806,4,221,4,8,0,618
4,85726,19,406,11,21,0,369
1,443781,2,155,1,3,0,527
1,246503,3,197,0,2,0,553
1,443781,2,111,1,1,0,565
6,443781,23,277,1,0,0,320
1,200806,5,194,3,3,0,648
1,443781,2,23,2,1,0,1545
6,445793,7,38,1,1,0,477
6,445793,7,36,1,1,0,343
6,445793,24,606,1,1,0,236
5,445793,15,173,1,1,0,122
5,2011,20,406,1,1,0,381
7,445793,10,257,1,1,0,462
5,87850,17,309,1,1,0,437
7,2011,24,277,1,1,0,325
7,2011,13,212,1,1,0,403
6,445793,12,162,1,1,0,284
1,264530,3,613,2,2,0,880
1,43,4,669,65,9,0,873
1,342622,6,245,2,2,0,829
1,388697,3,151,2,2,0,670
1,342622,4,236,3,3,0,747
1,342813,3,167,3,3,0,809
1,142748,7,504,9,5,0,760
1,142193,4,197,3,3,0,546
1,567346,3,145,3,3,0,819
1,142193,5,373,2,2,0,717
1,342622,3,181,2,2,0,737
1,343373,5,157,3,3,0,786
1,388697,3,268,3,3,0,798
1,0,1,119,118,0,0,500
1,0,1,41,40,0,0,492
1,0,1,37,36,0,0,502
1,0,1,174,173,0,0,496
1,0,1,73,72,0,0,504
1,0,1,227,226,0,0,498
1,0,1,811,810,0,0,494
1,17284,4,157,12,6,0,669
1,53,5,181,26,2,0,679
1,17338,8,517,14,1,0,772
1,57,6,180,1,2,0,674
1,406093,3,213,5,0,0,706
2,415254,3,253,1,1,0,909
2,524646,3,115,21,7,0,924
7,271490,11,257,3,3,0,442
2,1608,4,119,4,0,0,923
2,111003,4,281,31,3,0,910
2,717903,2,43,14,7,0,967
2,717904,2,110,52,5,0,960
2,718098,2,34,6,3,0,940
2,527069,3,200,80,20,0,951
2,193,3,110,1,1,0,962
2,883,5,119,1,1,0,921
2,274385,3,265,117,18,0,932
2,274385,3,196,75,34,0,895
2,718188,2,153,17,43,0,856
2,475259,4,254,23,31,0,592
2,132450,5,197,4,4,0,549
2,258,4,265,4,4,0,928
2,327,4,110,2,2,0,958
2,132450,6,373,3,3,0,722
2,258,4,213,19,2,0,891
2,475450,3,189,51,30,0,604
2,258,6,120,2,1,0,917
2,1141,5,282,2,1,0,902
2,327,4,200,1,1,0,946
2,1572,7,120,2,2,0,919
2,1572,5,193,3,10,0,948
2,204894,5,655,7,21,0,882
2,137069,5,229,6,13,0,756
2,137069,4,265,3,6,0,806
2,137069,4,178,3,6,0,745
2,10273,6,656,109,108,0,874
2,145756,7,248,53,50,0,830
2,128360,7,179,27,28,0,671
2,8687,5,175,35,38,0,738
2,128360,4,226,57,44,0,702
2,13543,3,150,53,56,0,849
2,13306,7,363,93,103,0,718
1,0,1,58,57,0,0,841
2,145756,4,167,40,40,0,810
2,145756,4,138,39,46,0,820
2,287950,5,215,37,43,0,611
2,13306,5,201,32,44,0,888
2,8687,6,221,52,60,0,748
2,287950,3,107,26,30,0,559
2,13306,6,286,73,69,0,898
2,287950,6,194,31,31,0,640
2,145756,6,159,58,56,0,787
2,731731,2,120,19,16,0,651
2,128418,9,517,144,144,0,761
2,11733,8,120,18,18,0,913
2,11733,6,200,45,38,0,943
2,13306,4,187,28,30,0,601
2,13306,5,115,18,13,0,955
2,783,7,303,21,4,0,899
2,783,10,517,1,1,0,762
2,9470,5,251,63,77,0,799
2,783,8,359,3,7,0,719
2,805,8,248,4,4,0,828
2,427,9,375,19,3,0,725
1,1210,2,68,10,0,0,846
2,14707,5,286,33,1,0,591
2,28012,4,163,17,4,0,853
3,175931,5,160,2,5,0,855
3,18,6,160,1,1,0,860
3,145,7,160,1,1,0,861
7,502094,25,617,11,1,0,238
3,215384,8,313,13,3,0,906
7,37534,26,600,1,18,0,222
3,253724,7,639,8,25,0,875
3,257657,8,178,1,2,0,683
3,130354,8,641,3,1,0,878
2,557185,2,0,0,40,0,493
2,557185,2,0,0,810,0,495
2,557185,2,0,0,72,0,505
2,557185,2,0,0,36,0,503
2,557185,2,0,0,173,0,497
2,557185,2,0,0,226,0,499
2,557185,2,0,0,118,0,501
5,699442,20,0,0,372,0,249
6,697430,21,0,0,406,0,356
6,1143223,9,0,0,38,0,10
7,157801,27,0,0,599,0,209
4,1143223,4,0,0,112,0,1529
6,697430,18,0,0,309,0,418
5,1143223,6,0,0,100,0,291
7,697430,14,0,0,211,0,390
5,1143223,10,0,0,90,0,81
7,697430,25,0,0,277,0,304
6,697430,16,0,0,173,0,109
6,1143223,8,0,0,37,0,191
5,975292,8,0,0,66,0,485
6,1143223,8,0,0,38,0,176
7,697430,13,0,0,162,0,271
7,699442,19,0,0,908,0,133
7,697430,8,0,0,38,0,470
7,697430,8,0,0,36,0,336
2,1143223,2,0,0,190,0,37
6,699442,22,0,0,319,0,51
2,785281,2,0,0,113,0,1537
7,425940,12,0,0,257,0,446
5,1143223,8,0,0,46,0,28
2,1234532,2,156,6,5,0,695
2,1234532,2,66,6,5,0,532
2,1234532,2,53,6,5,0,539
3,502801,7,201,6,5,0,945
3,502801,6,116,6,5,0,957
2,1037254,3,77,6,5,0,578
2,790751,3,457,6,5,0,864
3,286633,9,314,6,5,0,901
3,245143,9,179,6,5,0,673
3,502801,6,216,6,5,0,613
3,502017,11,518,6,5,0,765
3,502801,9,121,6,5,0,915
3,501590,6,287,6,5,0,589
2,790751,3,24,6,5,0,1542
2,1234532,2,216,6,5,0,516
3,502801,3,121,6,5,0,654
3,501590,10,376,6,5,0,721
2,991557,3,203,6,5,0,632
2,1234532,2,171,6,5,0,686
3,502801,5,139,6,5,0,822
2,1037254,3,108,6,5,0,507
3,502017,6,252,6,5,0,801
3,502801,5,168,6,5,0,813
2,1234532,2,42,6,5,0,570
3,502801,4,108,6,5,0,561
2,991557,3,119,6,5,0,623
3,502801,7,160,6,5,0,789
3,502801,6,176,6,5,0,741
3,516629,3,44,6,5,0,966
3,502801,5,188,6,5,0,603
2,1234532,2,173,6,5,0,661
2,501590,3,71,14,11,0,843
3,516434,3,35,6,5,0,937
3,516107,5,266,6,5,0,927
3,516107,6,198,6,5,0,548
3,501995,9,249,6,5,0,833
2,1234532,2,111,6,5,0,780
3,118721,9,642,6,5,0,877
2,790751,3,156,6,5,0,524
3,502801,7,195,6,5,0,642
3,502801,5,227,6,5,0,705
3,502801,6,202,6,5,0,890
4,298693,8,161,6,5,0,851
3,502801,7,222,6,5,0,751
3,414359,10,310,0,4,0,905
3,414359,11,374,0,2,0,729
3,414359,10,177,0,2,0,678
3,22,11,309,0,1,0,907
3,198633,12,375,4,3,0,735
3,612992,7,258,7,1,0,807
2,780570,4,203,2,2,0,634
3,823454,6,227,1,1,0,709
2,823456,4,1,1,118,0,624
4,823456,9,1,1,160,0,852
3,823456,4,1,1,34,0,938
3,823456,7,1,1,115,0,959
3,823456,7,1,1,286,0,590
2,823456,3,1,1,155,0,696
